;Tweets;Labels;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
46;Mulai sekarang kalo makan bubur diaduk.;1;mulai sekarang kalo makan bubur diaduk;['mulai', 'sekarang', 'kalo', 'makan', 'bubur', 'diaduk'];['mulai', 'sekarang', 'kalau', 'makan', 'bubur', 'diaduk'];['makan', 'bubur', 'diaduk'];makan bubur diaduk;makan bubur aduk
47;@59O55 Matchanya ngga terlalu manis sih, tapi bitter-nya tuh kurang banget. Buat disebut hint aja masih kurang. ð¥² Hâ¦ https://t.co/W9ns27TyBB;0;user matchanya ngga terlalu manis sih tapi bitter nya tuh kurang banget buat disebut hint aja masih kurang cow9ns27tybb;['user', 'matchanya', 'ngga', 'terlalu', 'manis', 'sih', 'tapi', 'bitter', 'nya', 'tuh', 'kurang', 'banget', 'buat', 'disebut', 'hint', 'aja', 'masih', 'kurang', 'cow9ns27tybb'];['user', 'matchanya', 'tidak', 'terlalu', 'manis', 'sih', 'tapi', 'bitter', 'nya', 'itu', 'kurang', 'banget', 'buat', 'disebut', 'hint', 'saja', 'masih', 'kurang', 'cow9ns27tybb'];['user', 'matchanya', 'manis', 'sih', 'bitter', 'nya', 'banget', 'hint', 'cow9ns27tybb'];user matchanya manis sih bitter nya banget hint cow9ns27tybb;user matchanya manis sih bitter nya banget hint cow9ns27tybb
48;Lumayan enak jga bubur diaduk;1;lumayan enak jga bubur diaduk;['lumayan', 'enak', 'jga', 'bubur', 'diaduk'];['lumayan', 'enak', 'juga', 'bubur', 'diaduk'];['lumayan', 'enak', 'bubur', 'diaduk'];lumayan enak bubur diaduk;lumayan enak bubur aduk
49;@DoyGanz Bubur diaduk pa disedot bang?;1;user bubur diaduk pa disedot bang;['user', 'bubur', 'diaduk', 'pa', 'disedot', 'bang'];['user', 'bubur', 'diaduk', 'pak', 'disedot', 'bang'];['user', 'bubur', 'diaduk', 'disedot', 'bang'];user bubur diaduk disedot bang;user bubur aduk sedot bang
50;Tim bubur diaduk trus disuapin km https://t.co/RkXC0ZjG5J;1;tim bubur diaduk trus disuapin km corkxc0zjg5j;['tim', 'bubur', 'diaduk', 'trus', 'disuapin', 'km', 'corkxc0zjg5j'];['tim', 'bubur', 'diaduk', 'terus', 'disuapin', 'kamu', 'corkxc0zjg5j'];['tim', 'bubur', 'diaduk', 'disuapin', 'corkxc0zjg5j'];tim bubur diaduk disuapin corkxc0zjg5j;tim bubur aduk disuapin corkxc0zjg5j
51;@ssefnum Bubur diaduk gak diaduk anjing.;0;user bubur diaduk gak diaduk anjing;['user', 'bubur', 'diaduk', 'gak', 'diaduk', 'anjing'];['user', 'bubur', 'diaduk', 'tidak', 'diaduk', 'anjing'];['user', 'bubur', 'diaduk', 'diaduk', 'anjing'];user bubur diaduk diaduk anjing;user bubur aduk aduk anjing
52;@urtannedskin Tim bubur ga diaduk hadir;1;user tim bubur ga diaduk hadir;['user', 'tim', 'bubur', 'ga', 'diaduk', 'hadir'];['user', 'tim', 'bubur', 'tidak', 'diaduk', 'hadir'];['user', 'tim', 'bubur', 'diaduk', 'hadir'];user tim bubur diaduk hadir;user tim bubur aduk hadir
53;tim bubur diaduk po di dulang bakul e?;1;tim bubur diaduk po di dulang bakul;['tim', 'bubur', 'diaduk', 'po', 'di', 'dulang', 'bakul'];['tim', 'bubur', 'diaduk', 'po', 'di', 'dulang', 'bakul'];['tim', 'bubur', 'diaduk', 'po', 'dulang', 'bakul'];tim bubur diaduk po dulang bakul;tim bubur aduk po dulang bakul
54;@urtannedskin Bubur ayam diaduk apa enggak;1;user bubur ayam diaduk apa enggak;['user', 'bubur', 'ayam', 'diaduk', 'apa', 'enggak'];['user', 'bubur', 'ayam', 'diaduk', 'apa', 'enggak'];['user', 'bubur', 'ayam', 'diaduk'];user bubur ayam diaduk;user bubur ayam aduk
55;"@slackxrlife Aku nggak terima kalau diaduk, aku tim bubur no aduk-aduk. /heh 
Tapi kayaknya aku ngerti maksud kamu,â¦ https://t.co/HfBy1ueiYo";0;user aku nggak terima kalau diaduk aku tim bubur no aduk aduk heh tapi kayaknya aku ngerti maksud kamu cohfby1ueiyo;['user', 'aku', 'nggak', 'terima', 'kalau', 'diaduk', 'aku', 'tim', 'bubur', 'no', 'aduk', 'aduk', 'heh', 'tapi', 'kayaknya', 'aku', 'ngerti', 'maksud', 'kamu', 'cohfby1ueiyo'];['user', 'aku', 'nggak', 'terima', 'kalau', 'diaduk', 'aku', 'tim', 'bubur', 'no', 'aduk', 'aduk', 'heh', 'tapi', 'kayaknya', 'aku', 'ngerti', 'maksud', 'kamu', 'cohfby1ueiyo'];['user', 'nggak', 'terima', 'diaduk', 'tim', 'bubur', 'no', 'aduk', 'aduk', 'heh', 'kayaknya', 'ngerti', 'maksud', 'cohfby1ueiyo'];user nggak terima diaduk tim bubur no aduk aduk heh kayaknya ngerti maksud cohfby1ueiyo;user nggak terima aduk tim bubur no aduk aduk heh kayak ngerti maksud cohfby1ueiyo
56;@tempodotco @DyandraGlobal Seandainya aku malam mingguan dengan bias NCT, aku bakal ajak Haechan buat mam bubur trsâ¦ https://t.co/VqUKQ0oT6C;1;user user seandainya aku malam mingguan dengan bias allcaps nct allcaps aku bakal ajak haechan buat mam bubur trs covqukq0ot6c;['user', 'user', 'seandainya', 'aku', 'malam', 'mingguan', 'dengan', 'bias', 'allcaps', 'nct', 'allcaps', 'aku', 'bakal', 'ajak', 'haechan', 'buat', 'mam', 'bubur', 'trs', 'covqukq0ot6c'];['user', 'user', 'seandainya', 'aku', 'malam', 'mingguan', 'dengan', 'bias', 'allcaps', 'nct', 'allcaps', 'aku', 'bakal', 'ajak', 'haechan', 'buat', 'mam', 'bubur', 'terus', 'covqukq0ot6c'];['user', 'user', 'seandainya', 'malam', 'mingguan', 'bias', 'allcaps', 'nct', 'allcaps', 'ajak', 'haechan', 'mam', 'bubur', 'covqukq0ot6c'];user user seandainya malam mingguan bias allcaps nct allcaps ajak haechan mam bubur covqukq0ot6c;user user anda malam minggu bias allcaps nct allcaps ajak haechan mam bubur covqukq0ot6c
57;@_pigcantfly SELAMAT PAGIIII JANGAN LUPA SARAPAN BUBUR DIADUK!!!!;0;user allcaps selamat pagi elongated jangan lupa sarapan bubur diaduk allcaps repeated;['user', 'allcaps', 'selamat', 'pagi', 'elongated', 'jangan', 'lupa', 'sarapan', 'bubur', 'diaduk', 'allcaps', 'repeated'];['user', 'allcaps', 'selamat', 'pagi', 'elongated', 'jangan', 'lupa', 'sarapan', 'bubur', 'diaduk', 'allcaps', 'repeated'];['user', 'allcaps', 'selamat', 'pagi', 'elongated', 'lupa', 'sarapan', 'bubur', 'diaduk', 'allcaps', 'repeated'];user allcaps selamat pagi elongated lupa sarapan bubur diaduk allcaps repeated;user allcaps selamat pagi elongated lupa sarap bubur aduk allcaps repeated
58;Perihal bubur diaduk atau gak diaduk ga musti jadi masalah, bukannya hidup emang selalu saling mengisi? Seperti kamâ¦ https://t.co/CqqftX2NbJ;1;perihal bubur diaduk atau gak diaduk ga musti jadi masalah bukannya hidup emang selalu saling mengisi seperti kam cocqqftx2nbj;['perihal', 'bubur', 'diaduk', 'atau', 'gak', 'diaduk', 'ga', 'musti', 'jadi', 'masalah', 'bukannya', 'hidup', 'emang', 'selalu', 'saling', 'mengisi', 'seperti', 'kam', 'cocqqftx2nbj'];['perihal', 'bubur', 'diaduk', 'atau', 'tidak', 'diaduk', 'tidak', 'musti', 'jadi', 'masalah', 'bukannya', 'hidup', 'memang', 'selalu', 'saling', 'mengisi', 'seperti', 'kam', 'cocqqftx2nbj'];['perihal', 'bubur', 'diaduk', 'diaduk', 'musti', 'hidup', 'mengisi', 'kam', 'cocqqftx2nbj'];perihal bubur diaduk diaduk musti hidup mengisi kam cocqqftx2nbj;perihal bubur aduk aduk musti hidup isi kam cocqqftx2nbj
59;Emak gw tim bubur gak diaduk ðð;0;emak gw tim bubur gak diaduk;['emak', 'gw', 'tim', 'bubur', 'gak', 'diaduk'];['emak', 'saya', 'tim', 'bubur', 'tidak', 'diaduk'];['emak', 'tim', 'bubur', 'diaduk'];emak tim bubur diaduk;emak tim bubur aduk
60;Bubur tu diaduk. https://t.co/JJPElbopTu;1;bubur tu diaduk cojjpelboptu;['bubur', 'tu', 'diaduk', 'cojjpelboptu'];['bubur', 'itu', 'diaduk', 'cojjpelboptu'];['bubur', 'diaduk', 'cojjpelboptu'];bubur diaduk cojjpelboptu;bubur aduk cojjpelboptu
61;@xxxxxxyours Tim bubur tidak diaduk âð»;1;user tim bubur tidak diaduk;['user', 'tim', 'bubur', 'tidak', 'diaduk'];['user', 'tim', 'bubur', 'tidak', 'diaduk'];['user', 'tim', 'bubur', 'diaduk'];user tim bubur diaduk;user tim bubur aduk
62;"@mks_fess Demi menjaga keindahan (aesthetic) bubur ayam dan rasa tiap unsur kelezatan di dalamnya

Tidak perlu diaduk ð";1;user demi menjaga keindahan aesthetic bubur ayam dan rasa tiap unsur kelezatan di dalamnya tidak perlu diaduk;['user', 'demi', 'menjaga', 'keindahan', 'aesthetic', 'bubur', 'ayam', 'dan', 'rasa', 'tiap', 'unsur', 'kelezatan', 'di', 'dalamnya', 'tidak', 'perlu', 'diaduk'];['user', 'demi', 'menjaga', 'keindahan', 'aesthetic', 'bubur', 'ayam', 'dan', 'rasa', 'tiap', 'unsur', 'kelezatan', 'di', 'dalamnya', 'tidak', 'perlu', 'diaduk'];['user', 'menjaga', 'keindahan', 'aesthetic', 'bubur', 'ayam', 'unsur', 'kelezatan', 'dalamnya', 'diaduk'];user menjaga keindahan aesthetic bubur ayam unsur kelezatan dalamnya diaduk;user jaga indah aesthetic bubur ayam unsur lezat dalam aduk
63;Untuk menilai sesuatu agar lebih objektif, mari kita coba bubur diaduk https://t.co/pQVg3GAcEj;1;untuk menilai sesuatu agar lebih objektif mari kita coba bubur diaduk copqvg3gacej;['untuk', 'menilai', 'sesuatu', 'agar', 'lebih', 'objektif', 'mari', 'kita', 'coba', 'bubur', 'diaduk', 'copqvg3gacej'];['untuk', 'menilai', 'sesuatu', 'agar', 'lebih', 'objektif', 'mari', 'kita', 'coba', 'bubur', 'diaduk', 'copqvg3gacej'];['menilai', 'objektif', 'mari', 'coba', 'bubur', 'diaduk', 'copqvg3gacej'];menilai objektif mari coba bubur diaduk copqvg3gacej;nilai objektif mari coba bubur aduk copqvg3gacej
64;@suzu2AM Waduh, kamu tim bubur diaduk atau disedot nih jangan-jangan? Nanti habis selesai makan deh balik tidur lagi, Zu.;0;user waduh kamu tim bubur diaduk atau disedot nih jangan jangan nanti habis selesai makan deh balik tidur lagi zu;['user', 'waduh', 'kamu', 'tim', 'bubur', 'diaduk', 'atau', 'disedot', 'nih', 'jangan', 'jangan', 'nanti', 'habis', 'selesai', 'makan', 'deh', 'balik', 'tidur', 'lagi', 'zu'];['user', 'aduh', 'kamu', 'tim', 'bubur', 'diaduk', 'atau', 'disedot', 'ini', 'jangan', 'jangan', 'nanti', 'habis', 'selesai', 'makan', 'deh', 'balik', 'tidur', 'lagi', 'zu'];['user', 'aduh', 'tim', 'bubur', 'diaduk', 'disedot', 'habis', 'selesai', 'makan', 'deh', 'tidur', 'zu'];user aduh tim bubur diaduk disedot habis selesai makan deh tidur zu;user aduh tim bubur aduk sedot habis selesai makan deh tidur zu
65;Kadang heran aja sama orang yang makan bubur ayam ga diaduk. https://t.co/wjMDYL3Lof;0;kadang heran aja sama orang yang makan bubur ayam ga diaduk cowjmdyl3lof;['kadang', 'heran', 'aja', 'sama', 'orang', 'yang', 'makan', 'bubur', 'ayam', 'ga', 'diaduk', 'cowjmdyl3lof'];['kadang', 'heran', 'saja', 'sama', 'orang', 'yang', 'makan', 'bubur', 'ayam', 'tidak', 'diaduk', 'cowjmdyl3lof'];['kadang', 'heran', 'orang', 'makan', 'bubur', 'ayam', 'diaduk', 'cowjmdyl3lof'];kadang heran orang makan bubur ayam diaduk cowjmdyl3lof;kadang heran orang makan bubur ayam aduk cowjmdyl3lof
66;@prettynahyuck Lestarikan budaya bubur diaduk;1;user lestarikan budaya bubur diaduk;['user', 'lestarikan', 'budaya', 'bubur', 'diaduk'];['user', 'lestarikan', 'budaya', 'bubur', 'diaduk'];['user', 'lestarikan', 'budaya', 'bubur', 'diaduk'];user lestarikan budaya bubur diaduk;user lestari budaya bubur aduk
67;kamu tim bubur diaduk atau bubur d banting?;1;kamu tim bubur diaduk atau bubur banting;['kamu', 'tim', 'bubur', 'diaduk', 'atau', 'bubur', 'banting'];['kamu', 'tim', 'bubur', 'diaduk', 'atau', 'bubur', 'banting'];['tim', 'bubur', 'diaduk', 'bubur', 'banting'];tim bubur diaduk bubur banting;tim bubur aduk bubur banting
68;@anecsya Bubur ga nes? Tapi jangan diaduk ya makannya.;1;user bubur ga nes tapi jangan diaduk ya makannya;['user', 'bubur', 'ga', 'nes', 'tapi', 'jangan', 'diaduk', 'ya', 'makannya'];['user', 'bubur', 'tidak', 'nes', 'tapi', 'jangan', 'diaduk', 'ya', 'makannya'];['user', 'bubur', 'nes', 'diaduk', 'ya', 'makannya'];user bubur nes diaduk ya makannya;user bubur nes aduk ya makan
69;@YejiOfWD Tos! Tapi maksud gue nggak diaduk itu topingnya aja sih, jadi bubur sama kuah kuningnya gue aduk dulu baru gue tata toppingnya;1;user tos tapi maksud gue nggak diaduk itu topingnya aja sih jadi bubur sama kuah kuningnya gue aduk dulu baru gue tata toppingnya;['user', 'tos', 'tapi', 'maksud', 'gue', 'nggak', 'diaduk', 'itu', 'topingnya', 'aja', 'sih', 'jadi', 'bubur', 'sama', 'kuah', 'kuningnya', 'gue', 'aduk', 'dulu', 'baru', 'gue', 'tata', 'toppingnya'];['user', 'tos', 'tapi', 'maksud', 'saya', 'nggak', 'diaduk', 'itu', 'topingnya', 'saja', 'sih', 'jadi', 'bubur', 'sama', 'kuah', 'kuningnya', 'saya', 'aduk', 'dulu', 'baru', 'saya', 'tata', 'toppingnya'];['user', 'tos', 'maksud', 'nggak', 'diaduk', 'topingnya', 'sih', 'bubur', 'kuah', 'kuningnya', 'aduk', 'tata', 'toppingnya'];user tos maksud nggak diaduk topingnya sih bubur kuah kuningnya aduk tata toppingnya;user tos maksud nggak aduk topingnya sih bubur kuah kuning aduk tata toppingnya
70;Bubur kok diaduk. https://t.co/3gojQFCrg7;0;bubur kok diaduk co3gojqfcrg7;['bubur', 'kok', 'diaduk', 'co3gojqfcrg7'];['bubur', 'kok', 'diaduk', 'co3gojqfcrg7'];['bubur', 'diaduk', 'co3gojqfcrg7'];bubur diaduk co3gojqfcrg7;bubur aduk co3gojqfcrg7
71;@anakpecundangg itu bubur diaduk dit? gua sarapan risol;1;user itu bubur diaduk dit gua sarapan risol;['user', 'itu', 'bubur', 'diaduk', 'dit', 'gua', 'sarapan', 'risol'];['user', 'itu', 'bubur', 'diaduk', 'dit', 'saya', 'sarapan', 'risol'];['user', 'bubur', 'diaduk', 'dit', 'sarapan', 'risol'];user bubur diaduk dit sarapan risol;user bubur aduk dit sarap risol
72;@Hosh_kw0n Bubur diaduk tuh kek muntahan kucing wleekk, tapi gue tim yg makan bubur suka di aduk ð­ð­ð­;0;user bubur diaduk tuh kek muntahan kucing wleekk tapi gue tim yg makan bubur suka di aduk;['user', 'bubur', 'diaduk', 'tuh', 'kek', 'muntahan', 'kucing', 'wleekk', 'tapi', 'gue', 'tim', 'yg', 'makan', 'bubur', 'suka', 'di', 'aduk'];['user', 'bubur', 'diaduk', 'itu', 'kayak', 'muntahan', 'kucing', 'wleekk', 'tapi', 'saya', 'tim', 'yang', 'makan', 'bubur', 'suka', 'di', 'aduk'];['user', 'bubur', 'diaduk', 'kayak', 'muntahan', 'kucing', 'wleekk', 'tim', 'makan', 'bubur', 'suka', 'aduk'];user bubur diaduk kayak muntahan kucing wleekk tim makan bubur suka aduk;user bubur aduk kayak muntah kucing wleekk tim makan bubur suka aduk
73;"cantik2 tp makan bubur ayamnya diaduk
SEKIPPPPP";0;cantik2 tp makan bubur ayamnya diaduk allcaps sekipp elongated allcaps;['cantik2', 'tp', 'makan', 'bubur', 'ayamnya', 'diaduk', 'allcaps', 'sekipp', 'elongated', 'allcaps'];['cantik2', 'tapi', 'makan', 'bubur', 'ayamnya', 'diaduk', 'allcaps', 'sekipp', 'elongated', 'allcaps'];['cantik2', 'makan', 'bubur', 'ayamnya', 'diaduk', 'allcaps', 'sekipp', 'elongated', 'allcaps'];cantik2 makan bubur ayamnya diaduk allcaps sekipp elongated allcaps;cantik2 makan bubur ayam aduk allcaps sekipp elongated allcaps
74;@itjeea MANA ENAK BUBUR GA DIADUK;0;user allcaps mana enak bubur ga diaduk allcaps;['user', 'allcaps', 'mana', 'enak', 'bubur', 'ga', 'diaduk', 'allcaps'];['user', 'allcaps', 'mana', 'enak', 'bubur', 'tidak', 'diaduk', 'allcaps'];['user', 'allcaps', 'enak', 'bubur', 'diaduk', 'allcaps'];user allcaps enak bubur diaduk allcaps;user allcaps enak bubur aduk allcaps
75;@adamnoto @fuckedupfoods hanya orgil yg makan bubur ga diaduk;0;user user hanya orgil yg makan bubur ga diaduk;['user', 'user', 'hanya', 'orgil', 'yg', 'makan', 'bubur', 'ga', 'diaduk'];['user', 'user', 'hanya', 'orgil', 'yang', 'makan', 'bubur', 'tidak', 'diaduk'];['user', 'user', 'orgil', 'makan', 'bubur', 'diaduk'];user user orgil makan bubur diaduk;user user orgil makan bubur aduk
76;@BBYAMBIwuih tim bubur gak diaduk soalnya kalau diaduk ga estetik udah kek makanan ayam;0;user tim bubur gak diaduk soalnya kalau diaduk ga estetik udah kek makanan ayam;['user', 'tim', 'bubur', 'gak', 'diaduk', 'soalnya', 'kalau', 'diaduk', 'ga', 'estetik', 'udah', 'kek', 'makanan', 'ayam'];['user', 'tim', 'bubur', 'tidak', 'diaduk', 'soalnya', 'kalau', 'diaduk', 'tidak', 'estetik', 'sudah', 'kayak', 'makanan', 'ayam'];['user', 'tim', 'bubur', 'diaduk', 'diaduk', 'estetik', 'kayak', 'makanan', 'ayam'];user tim bubur diaduk diaduk estetik kayak makanan ayam;user tim bubur aduk aduk estetik kayak makan ayam
77;mam bubur tuh ga diaduk!!! https://t.co/cMv5L9z5TC;0;mam bubur tuh ga diaduk repeated cocmv5l9z5tc;['mam', 'bubur', 'tuh', 'ga', 'diaduk', 'repeated', 'cocmv5l9z5tc'];['mam', 'bubur', 'itu', 'tidak', 'diaduk', 'repeated', 'cocmv5l9z5tc'];['mam', 'bubur', 'diaduk', 'repeated', 'cocmv5l9z5tc'];mam bubur diaduk repeated cocmv5l9z5tc;mam bubur aduk repeated cocmv5l9z5tc
78;@aaaaaabible @nashaazia @convomf Ez, pakai sendok keren loh kak. Klau bubur, menurutku lebih enak diaduk kak, klau ga, sia-sia bumbunya :);1;user user user ez pakai sendok keren loh kak klau bubur menurutku lebih enak diaduk kak klau ga sia sia bumbunya happy;['user', 'user', 'user', 'ez', 'pakai', 'sendok', 'keren', 'loh', 'kak', 'klau', 'bubur', 'menurutku', 'lebih', 'enak', 'diaduk', 'kak', 'klau', 'ga', 'sia', 'sia', 'bumbunya', 'happy'];['user', 'user', 'user', 'ez', 'pakai', 'sendok', 'keren', 'loh', 'kak', 'klau', 'bubur', 'menurutku', 'lebih', 'enak', 'diaduk', 'kak', 'klau', 'tidak', 'sia', 'sia', 'bumbunya', 'happy'];['user', 'user', 'user', 'ez', 'pakai', 'sendok', 'keren', 'loh', 'kak', 'klau', 'bubur', 'menurutku', 'enak', 'diaduk', 'kak', 'klau', 'sia', 'sia', 'bumbunya', 'happy'];user user user ez pakai sendok keren loh kak klau bubur menurutku enak diaduk kak klau sia sia bumbunya happy;user user user ez pakai sendok keren loh kak klau bubur turut enak aduk kak klau sia sia bumbu happy
79;@ameliaanff Keturunan dajal yg makan bubur ga diaduk;0;user keturunan dajal yg makan bubur ga diaduk;['user', 'keturunan', 'dajal', 'yg', 'makan', 'bubur', 'ga', 'diaduk'];['user', 'keturunan', 'dajal', 'yang', 'makan', 'bubur', 'tidak', 'diaduk'];['user', 'keturunan', 'dajal', 'makan', 'bubur', 'diaduk'];user keturunan dajal makan bubur diaduk;user turun dajal makan bubur aduk
80;@borasaeksourire Horeeeeeee, kita se team: team bubur ga diaduk ðððððHeran ma orang2,;0;user hore elongated kita se team team bubur ga diaduk heran ma orang2;['user', 'hore', 'elongated', 'kita', 'se', 'team', 'team', 'bubur', 'ga', 'diaduk', 'heran', 'ma', 'orang2'];['user', 'hore', 'elongated', 'kita', 'se', 'team', 'team', 'bubur', 'tidak', 'diaduk', 'heran', 'sama', 'orang2'];['user', 'hore', 'elongated', 'team', 'team', 'bubur', 'diaduk', 'heran', 'orang2'];user hore elongated team team bubur diaduk heran orang2;user hore elongated team team bubur aduk heran orang2
81;@WagimanDeep212_ Bib, mnurut kabar burung (tau burung siapa?). Ukhty ini merepukan ketua gerakan sayap kirip Bubur Ayam Ga Diaduk.;1;user bib mnurut kabar burung tau burung siapa ukhty ini merepukan ketua gerakan sayap kirip bubur ayam ga diaduk;['user', 'bib', 'mnurut', 'kabar', 'burung', 'tau', 'burung', 'siapa', 'ukhty', 'ini', 'merepukan', 'ketua', 'gerakan', 'sayap', 'kirip', 'bubur', 'ayam', 'ga', 'diaduk'];['user', 'bib', 'mnurut', 'kabar', 'burung', 'tau', 'burung', 'siapa', 'ukhty', 'ini', 'merepukan', 'ketua', 'gerakan', 'sayap', 'kirip', 'bubur', 'ayam', 'tidak', 'diaduk'];['user', 'bib', 'mnurut', 'kabar', 'burung', 'tau', 'burung', 'ukhty', 'merepukan', 'ketua', 'gerakan', 'sayap', 'kirip', 'bubur', 'ayam', 'diaduk'];user bib mnurut kabar burung tau burung ukhty merepukan ketua gerakan sayap kirip bubur ayam diaduk;user bib mnurut kabar burung tau burung ukhty merepukan ketua gera sayap kirip bubur ayam aduk
82;@sugaringcandyp bubur ga diaduk tu enakk tauu, hidup bubur ga diaduk;1;user bubur ga diaduk tu enakk tauu hidup bubur ga diaduk;['user', 'bubur', 'ga', 'diaduk', 'tu', 'enakk', 'tauu', 'hidup', 'bubur', 'ga', 'diaduk'];['user', 'bubur', 'tidak', 'diaduk', 'itu', 'enakk', 'tauu', 'hidup', 'bubur', 'tidak', 'diaduk'];['user', 'bubur', 'diaduk', 'enakk', 'tauu', 'hidup', 'bubur', 'diaduk'];user bubur diaduk enakk tauu hidup bubur diaduk;user bubur aduk enakk tauu hidup bubur aduk
83;Apa enaknya bubur ga diadukðð» https://t.co/5Z0mZuN8Ai;0;apa enaknya bubur ga diaduk co5z0mzun8ai;['apa', 'enaknya', 'bubur', 'ga', 'diaduk', 'co5z0mzun8ai'];['apa', 'enaknya', 'bubur', 'tidak', 'diaduk', 'co5z0mzun8ai'];['enaknya', 'bubur', 'diaduk', 'co5z0mzun8ai'];enaknya bubur diaduk co5z0mzun8ai;enak bubur aduk co5z0mzun8ai
84;Bubur ga diaduk jaya jaya jaya! https://t.co/IOkavAUQf1;1;bubur ga diaduk jaya jaya jaya coiokavauqf1;['bubur', 'ga', 'diaduk', 'jaya', 'jaya', 'jaya', 'coiokavauqf1'];['bubur', 'tidak', 'diaduk', 'jaya', 'jaya', 'jaya', 'coiokavauqf1'];['bubur', 'diaduk', 'jaya', 'jaya', 'jaya', 'coiokavauqf1'];bubur diaduk jaya jaya jaya coiokavauqf1;bubur aduk jaya jaya jaya coiokavauqf1
85;@kwnjiyong88 papi ak bisa makan bubur diaduk sama ga diaduk CPTT PADA MAJUU;0;user papi ak bisa makan bubur diaduk sama ga diaduk allcaps cptt pada majuu allcaps;['user', 'papi', 'ak', 'bisa', 'makan', 'bubur', 'diaduk', 'sama', 'ga', 'diaduk', 'allcaps', 'cptt', 'pada', 'majuu', 'allcaps'];['user', 'papi', 'aku', 'bisa', 'makan', 'bubur', 'diaduk', 'sama', 'tidak', 'diaduk', 'allcaps', 'cptt', 'pada', 'majuu', 'allcaps'];['user', 'papi', 'makan', 'bubur', 'diaduk', 'diaduk', 'allcaps', 'cptt', 'majuu', 'allcaps'];user papi makan bubur diaduk diaduk allcaps cptt majuu allcaps;user papi makan bubur aduk aduk allcaps cptt majuu allcaps
86;@cowobangkit aneh msa makan bubur ga diaduk;0;user aneh msa makan bubur ga diaduk;['user', 'aneh', 'msa', 'makan', 'bubur', 'ga', 'diaduk'];['user', 'aneh', 'msa', 'makan', 'bubur', 'tidak', 'diaduk'];['user', 'aneh', 'msa', 'makan', 'bubur', 'diaduk'];user aneh msa makan bubur diaduk;user aneh msa makan bubur aduk
87;aneh sama orang yang makan bubur kok ga diaduk;0;aneh sama orang yang makan bubur kok ga diaduk;['aneh', 'sama', 'orang', 'yang', 'makan', 'bubur', 'kok', 'ga', 'diaduk'];['aneh', 'sama', 'orang', 'yang', 'makan', 'bubur', 'kok', 'tidak', 'diaduk'];['aneh', 'orang', 'makan', 'bubur', 'diaduk'];aneh orang makan bubur diaduk;aneh orang makan bubur aduk
88;@perflexed_ @convomf Wah kasian bgt hidupnya ga ngerasain nikmat bubur gk diaduk;0;user user wah kasian bgt hidupnya ga ngerasain nikmat bubur gk diaduk;['user', 'user', 'wah', 'kasian', 'bgt', 'hidupnya', 'ga', 'ngerasain', 'nikmat', 'bubur', 'gk', 'diaduk'];['user', 'user', 'wah', 'kasihan', 'banget', 'hidupnya', 'tidak', 'merasakan', 'nikmat', 'bubur', 'tidak', 'diaduk'];['user', 'user', 'kasihan', 'banget', 'hidupnya', 'merasakan', 'nikmat', 'bubur', 'diaduk'];user user kasihan banget hidupnya merasakan nikmat bubur diaduk;user user kasihan banget hidup rasa nikmat bubur aduk
89;Ga habis pikir sama orang2 yg sarapan bubur, tapi mereka tim bubur diaduk, apa ga jijik menurut gw bentukan nya macâ¦ https://t.co/ne69i4SPQp;0;ga habis pikir sama orang2 yg sarapan bubur tapi mereka tim bubur diaduk apa ga jijik menurut gw bentukan nya mac cone69i4spqp;['ga', 'habis', 'pikir', 'sama', 'orang2', 'yg', 'sarapan', 'bubur', 'tapi', 'mereka', 'tim', 'bubur', 'diaduk', 'apa', 'ga', 'jijik', 'menurut', 'gw', 'bentukan', 'nya', 'mac', 'cone69i4spqp'];['tidak', 'habis', 'pikir', 'sama', 'orang2', 'yang', 'sarapan', 'bubur', 'tapi', 'mereka', 'tim', 'bubur', 'diaduk', 'apa', 'tidak', 'jijik', 'menurut', 'saya', 'bentukan', 'nya', 'mac', 'cone69i4spqp'];['habis', 'pikir', 'orang2', 'sarapan', 'bubur', 'tim', 'bubur', 'diaduk', 'jijik', 'bentukan', 'nya', 'mac', 'cone69i4spqp'];habis pikir orang2 sarapan bubur tim bubur diaduk jijik bentukan nya mac cone69i4spqp;habis pikir orang2 sarap bubur tim bubur aduk jijik bentuk nya mac cone69i4spqp
90;@almostdita Plis ini sekte perkubuan yang sama aja kek si sekte bubur di aduk atau engga diaduk. Riweh ð©;0;user plis ini sekte perkubuan yang sama aja kek si sekte bubur di aduk atau engga diaduk riweh;['user', 'plis', 'ini', 'sekte', 'perkubuan', 'yang', 'sama', 'aja', 'kek', 'si', 'sekte', 'bubur', 'di', 'aduk', 'atau', 'engga', 'diaduk', 'riweh'];['user', 'mohon', 'ini', 'sekte', 'perkubuan', 'yang', 'sama', 'saja', 'kayak', 'sih', 'sekte', 'bubur', 'di', 'aduk', 'atau', 'tidak', 'diaduk', 'riweh'];['user', 'mohon', 'sekte', 'perkubuan', 'kayak', 'sih', 'sekte', 'bubur', 'aduk', 'diaduk', 'riweh'];user mohon sekte perkubuan kayak sih sekte bubur aduk diaduk riweh;user mohon sekte kubu kayak sih sekte bubur aduk aduk riweh
